"date","time","in_out","ID1","behavior"
"20/11/2017","12:04:22","in","Moniek","infant-walk"
"20/11/2017","12:05:08","in","Moniek","infant-walk"
"20/11/2017","12:15:30","in","Morami","infant-walk"
"20/11/2017","12:18:27","in","Morami","infant-walk"
"20/11/2017","12:29:54","in","Morami","infant-walk"
"20/11/2017","12:35:18","in","Morami","infant-walk"
"20/11/2017","13:19:29","in","Morami","infant-walk"
"21/11/2017","10:12:36","in","Morami","infant-walk"
"21/11/2017","10:16:00","in","Morami","infant-walk"
"21/11/2017","10:16:23","in","Moniek","infant-walk"
"21/11/2017","10:22:01","in","Morami","infant-walk"
"21/11/2017","10:23:32","in","Morami","infant-walk"
"21/11/2017","10:23:36","in","Moniek","infant-walk"
"21/11/2017","10:27:47","in","Morami","infant-walk"
"21/11/2017","10:27:59","in","Moniek","infant-walk"
"23/11/2017","11:22:46","in","Moni","infant-walk"
"23/11/2017","11:25:10","in","Moni","infant-walk"
"23/11/2017","11:26:15","in","Moni","infant-walk"
"23/11/2017","11:26:57","in","Moni","infant-walk"
"23/11/2017","11:57:06","in","Morami","infant-walk"
"23/11/2017","11:57:44","in","Morami","infant-walk"
"24/11/2017","14:02:37","in","Morami","infant-walk"
"24/11/2017","14:06:00","in","Morami","infant-walk"
"24/11/2017","14:06:47","in","Morami","infant-walk"
"24/11/2017","14:15:52","in","Morami","infant-walk"
"24/11/2017","14:49:13","in","Morami","infant-walk"
"24/11/2017","14:50:16","in","Tushi","infant-walk"
"24/11/2017","14:51:47","in","Gaby","infant-walk"
"27/11/2017","14:59:26","in","Tushi","infant-walk"
"27/11/2017","15:09:52","in","Tushi","infant-walk"
"27/11/2017","15:11:34","in","Tushi","infant-walk"
"27/11/2017","15:25:23","in","Tushi","infant-walk"
"27/11/2017","15:43:02","in","Tushi","infant-walk"
"30/11/2017","11:24:46","in","Raimee","infant-walk"
"01/12/2017","9:56:52","in","Morami","infant-walk"
"01/12/2017","9:57:48","in","Morami","infant-walk"
"01/12/2017","10:02:35","in","Morami","infant-walk"
"04/12/2017","9:31:29","in","Moni","infant-walk"
"04/12/2017","9:36:22","in","Morami","infant-walk"
"04/12/2017","9:48:21","in","Morami","infant-walk"
"04/12/2017","9:48:35","in","Moniek","infant-walk"
"04/12/2017","10:02:39","in","Morami","infant-walk"
"04/12/2017","10:03:12","in","Morami","infant-walk"
"04/12/2017","10:05:57","in","Morami","infant-walk"
"07/12/2017","9:11:45","out","Morami","infant-walk"
"07/12/2017","9:12:16","out","Morami","infant-walk"
"07/12/2017","9:14:21","out","Tushi","infant-walk"
"07/12/2017","9:14:48","out","Tushi","infant-walk"
"07/12/2017","9:18:38","out","Tushi","infant-walk"
"07/12/2017","9:21:02","out","Moni","infant-walk"
"07/12/2017","9:21:42","out","Morami","infant-walk"
"07/12/2017","9:21:51","out","Moniek","infant-walk"
"07/12/2017","9:23:15","out","Tesua","infant-walk"
"07/12/2017","9:23:24","out","Moniek","infant-walk"
"07/12/2017","9:24:24","out","Moni","infant-walk"
"07/12/2017","9:55:03","in","Morami","infant-walk"
"07/12/2017","9:57:42","in","Morami","infant-walk"
"08/12/2017","14:28:21","in","Morami","infant-walk"
"11/12/2017","11:15:32","in","Tushi","infant-walk"
"11/12/2017","11:38:50","in","Moni","infant-walk"
"14/12/2017","12:04:44","in","Moniek","infant-walk"
"15/12/2017","11:15:41","in","Moni","infant-walk"
"15/12/2017","11:19:33","in","Morami","infant-walk"
"08/01/2018","11:56:52","in","Moniek","infant-walk"
"09/01/2018","15:51:40","in","Tushi","infant-walk"
"11/01/2018","11:46:28","out","Morami","infant-walk"
"11/01/2018","11:46:34","out","Roosje","infant-walk"
"11/01/2018","11:48:52","out","Moniek","infant-walk"
"11/01/2018","11:50:55","out","Moniek","infant-walk"
"11/01/2018","12:10:07","in","Moniek","infant-walk"
"11/01/2018","12:12:38","out","Moniek","infant-walk"
"11/01/2018","13:03:31","out","Roosje","infant-walk"
"11/01/2018","13:03:52","out","Moniek","infant-walk"
"15/01/2018","14:38:51","in","Gaby","infant-walk"
"16/01/2018","12:02:53","in","Moni","infant-walk"
"16/01/2018","12:29:15","in","Roosje","infant-walk"
"16/01/2018","12:30:01","in","Roosje","infant-walk"
"22/01/2018","13:16:04","in","Moni","infant-walk"
"22/01/2018","13:17:51","in","Moni","infant-walk"
"22/01/2018","13:18:24","in","Moni","infant-walk"
"22/01/2018","13:27:30","in","Moni","infant-walk"
"22/01/2018","13:28:19","in","Moni","infant-walk"
"22/01/2018","13:30:08","in","Moni","infant-walk"
"22/01/2018","14:27:11","out","Morami","infant-walk"
"22/01/2018","14:28:12","out","Morami","infant-walk"
"25/01/2018","14:32:18","in","Moniek","infant-walk"
"25/01/2018","14:32:35","in","Morami","infant-walk"
"25/01/2018","14:33:36","in","Moniek","infant-walk"
"25/01/2018","14:34:04","in","Moniek","infant-walk"
"25/01/2018","14:36:10","in","Moniek","infant-walk"
"25/01/2018","14:39:08","out","Morami","infant-walk"
"25/01/2018","14:42:06","out","Morami","infant-walk"
"25/01/2018","15:25:39","out","Morami","infant-walk"
"25/01/2018","15:29:14","out","Morami","infant-walk"
"26/01/2018","9:59:07","in","Morami","infant-walk"
"26/01/2018","10:00:34","in","Morami","infant-walk"
"01/02/2018","11:25:42","in","Morami","infant-walk"
"01/02/2018","11:53:09","in","Moni","infant-walk"
"01/02/2018","11:53:27","in","Moni","infant-walk"
"01/02/2018","11:54:59","in","Moni","infant-walk"
"01/02/2018","11:57:28","in","Moni","infant-walk"
"01/02/2018","12:32:30","in","Moni","infant-walk"
"01/02/2018","12:33:27","in","Morami","infant-walk"
"06/02/2018","11:40:10","in","Morami","infant-walk"
"06/02/2018","11:41:46","in","Morami","infant-walk"
"06/02/2018","11:49:04","in","Morami","infant-walk"
"08/02/2018","12:22:15","in","Moni","infant-walk"
"08/02/2018","12:23:00","in","Moni","infant-walk"
"13/02/2018","14:26:46","in","Morami","infant-walk"
"15/02/2018","12:35:27","in","Morami","infant-walk"
"15/02/2018","12:36:51","in","Morami","infant-walk"
"15/02/2018","12:41:53","in","Moniek","infant-walk"
"16/02/2018","9:42:54","in","Morami","infant-walk"
"16/02/2018","9:43:47","in","Morami","infant-walk"
"16/02/2018","9:45:57","in","Moniek","infant-walk"
"16/02/2018","9:47:03","in","Morami","infant-walk"
"16/02/2018","9:48:49","in","Tushi","infant-walk"
"16/02/2018","9:51:12","in","Morami","infant-walk"
"16/02/2018","9:52:07","in","Moniek","infant-walk"
"20/02/2018","13:57:29","in","Morami","infant-walk"
"23/02/2018","13:51:31","in","Moni","infant-walk"
"23/02/2018","14:21:33","in","Morami","infant-walk"
"23/02/2018","14:25:36","in","Morami","infant-walk"
"23/02/2018","14:29:47","in","Morami","infant-walk"
"23/02/2018","15:09:15","in","Jimmie","infant-walk"
"27/02/2018","9:22:53","in","Morami","infant-walk"
"27/02/2018","9:26:53","in","Morami","infant-walk"
"27/02/2018","9:29:17","in","Morami","infant-walk"
"27/02/2018","10:22:58","in","Morami","infant-walk"
"27/02/2018","10:37:09","in","Morami","infant-walk"
"02/03/2018","9:40:07","in","Morami","infant-walk"
"02/03/2018","10:42:56","in","Moni","infant-walk"
"02/03/2018","10:50:47","in","Moniek","infant-walk"
"02/03/2018","10:58:23","in","Morami","infant-walk"
"05/03/2018","14:52:15","in","Morami","infant-walk"
"05/03/2018","14:54:03","in","Morami","infant-walk"
"05/03/2018","14:56:30","in","Morami","infant-walk"
"05/03/2018","15:08:41","in","Moni","infant-walk"
"05/03/2018","15:13:21","in","Morami","infant-walk"
"08/03/2018","12:38:42","in","Morami","infant-walk"
"08/03/2018","12:56:19","in","Moniek","infant-walk"
"08/03/2018","12:57:36","in","Morami","infant-walk"
"08/03/2018","12:59:35","in","Morami","infant-walk"
"08/03/2018","12:59:48","in","Moniek","infant-walk"
"08/03/2018","13:01:02","in","Moniek","infant-walk"
"08/03/2018","13:03:41","in","Morami","infant-walk"
"08/03/2018","13:06:46","in","Morami","infant-walk"
"09/03/2018","9:19:12","in","Moni","infant-walk"
"09/03/2018","9:24:02","in","Moni","infant-walk"
"09/03/2018","9:25:17","in","Moniek","infant-walk"
"09/03/2018","9:28:23","in","Morami","infant-walk"
"09/03/2018","9:31:50","in","Morami","infant-walk"
"09/03/2018","10:14:49","in","Moni","infant-walk"
"09/03/2018","10:17:50","in","Moniek","infant-walk"
"09/03/2018","10:25:47","in","Moni","infant-walk"
"12/03/2018","11:12:26","out","Morami","infant-walk"
"12/03/2018","11:15:51","out","Morami","infant-walk"
"12/03/2018","11:21:20","out","Moniek","infant-walk"
"12/03/2018","11:21:34","out","Morami","infant-walk"
"12/03/2018","11:26:52","out","Moniek","infant-walk"
"12/03/2018","11:27:44","out","Morami","infant-walk"
"12/03/2018","11:27:46","out","Moniek","infant-walk"
"12/03/2018","11:28:56","out","Moniek","infant-walk"
"12/03/2018","11:35:44","out","Moniek","infant-walk"
"12/03/2018","11:41:20","out","Morami","infant-walk"
"12/03/2018","11:43:18","out","Moni","infant-walk"
"13/03/2018","13:10:01","in","Morami","infant-walk"
"22/03/2018","12:59:42","in","Morami","infant-walk"
"22/03/2018","12:59:49","in","Moniek","infant-walk"
"22/03/2018","13:00:08","in","Roosje","infant-walk"
"22/03/2018","13:04:21","in","Roosje","infant-walk"
"22/03/2018","13:09:20","in","Moni","infant-walk"
"23/03/2018","14:04:39","out","Roosje","infant-walk"
"23/03/2018","14:05:33","out","Morami","infant-walk"
"23/03/2018","14:19:45","in","Morami","infant-walk"
"23/03/2018","15:24:46","in","Morami","infant-walk"
"26/03/2018","14:52:10","out","Moni","infant-walk"
"26/03/2018","15:15:50","out","Morami","infant-walk"
"26/03/2018","15:38:41","out","Moni","infant-walk"
"26/03/2018","15:51:15","in","Moni","infant-walk"
"27/03/2018","11:24:38","out","Moni","infant-walk"
"27/03/2018","11:27:51","out","Moni","infant-walk"
"27/03/2018","11:36:11","out","Moni","infant-walk"
"27/03/2018","11:48:15","out","Moniek","infant-walk"
"27/03/2018","11:48:18","out","Morami","infant-walk"
"27/03/2018","11:49:18","out","Roosje","infant-walk"
"27/03/2018","11:49:47","out","Moni","infant-walk"
"27/03/2018","11:57:08","out","Moni","infant-walk"
"27/03/2018","12:08:07","out","Moni","infant-walk"
"27/03/2018","12:08:10","out","Moniek","infant-walk"
"27/03/2018","12:19:34","out","Moni","infant-walk"
"27/03/2018","12:23:01","out","Moni","infant-walk"
"27/03/2018","12:25:25","out","Moni","infant-walk"
"27/03/2018","12:41:23","out","Moniek","infant-walk"
"27/03/2018","12:41:26","out","Morami","infant-walk"
"27/03/2018","12:41:28","out","Moni","infant-walk"
"27/03/2018","12:47:09","out","Moni","infant-walk"
"29/03/2018","13:40:48","in","Morami","infant-walk"
"29/03/2018","13:41:49","out","Morami","infant-walk"
"30/03/2018","10:00:33","in","Morami","infant-walk"
"30/03/2018","10:01:54","in","Morami","infant-walk"
"30/03/2018","10:07:05","in","Morami","infant-walk"
"03/04/2018","10:40:37","out","Moni","infant-walk"
"03/04/2018","10:44:41","out","Moni","infant-walk"
"03/04/2018","10:58:41","out","Moni","infant-walk"
"03/04/2018","11:04:16","out","Tushi","infant-walk"
"03/04/2018","11:06:47","out","Moni","infant-walk"
"03/04/2018","11:12:56","out","Moni","infant-walk"
"03/04/2018","11:21:33","out","Moni","infant-walk"
"03/04/2018","11:39:47","out","Moni","infant-walk"
"03/04/2018","11:46:08","out","Moni","infant-walk"
"03/04/2018","11:53:33","out","Moni","infant-walk"
"03/04/2018","11:57:24","out","Moniek","infant-walk"
"05/04/2018","12:24:56","in","Morami","infant-walk"
"05/04/2018","12:25:32","in","Moni","infant-walk"
"05/04/2018","12:26:37","in","Moniek","infant-walk"
"05/04/2018","12:26:55","in","Morami","infant-walk"
"05/04/2018","12:30:12","in","Morami","infant-walk"
"05/04/2018","12:34:45","in","Morami","infant-walk"
"05/04/2018","13:08:47","in","Morami","infant-walk"
"05/04/2018","13:12:26","in","Morami","infant-walk"
"05/04/2018","13:14:09","in","Morami","infant-walk"
"06/04/2018","13:59:10","out","Moni","infant-walk"
"06/04/2018","14:01:57","out","Moni","infant-walk"
"06/04/2018","14:26:44","out","Moni","infant-walk"
"06/04/2018","14:47:10","out","Morami","infant-walk"
"09/04/2018","15:41:43","out","Morami","infant-walk"
"09/04/2018","15:45:47","out","Morami","infant-walk"
"09/04/2018","15:48:20","out","Moni","infant-walk"
"09/04/2018","15:56:43","out","Moni","infant-walk"
"09/04/2018","15:57:39","out","Moni","infant-walk"
"09/04/2018","16:01:37","out","Moni","infant-walk"
"09/04/2018","16:04:48","out","Moni","infant-walk"
"09/04/2018","16:11:51","out","Moni","infant-walk"
"09/04/2018","16:12:45","out","Moni","infant-walk"
"09/04/2018","16:22:27","out","Moni","infant-walk"
"09/04/2018","16:30:51","out","Morami","infant-walk"
"12/04/2018","14:09:47","out","Moni","infant-walk"
"12/04/2018","14:25:43","out","Moni","infant-walk"
"12/04/2018","14:38:15","out","Morami","infant-walk"
"12/04/2018","14:38:38","out","Moniek","infant-walk"
"12/04/2018","14:38:50","out","Moni","infant-walk"
"12/04/2018","14:38:54","out","Morami","infant-walk"
"12/04/2018","14:41:47","out","Moni","infant-walk"
"12/04/2018","14:44:13","out","Moni","infant-walk"
"12/04/2018","14:46:04","out","Moniek","infant-walk"
"12/04/2018","14:50:33","out","Moni","infant-walk"
"12/04/2018","14:51:44","out","Moni","infant-walk"
"12/04/2018","14:52:56","out","Moni","infant-walk"
"12/04/2018","14:55:19","out","Morami","infant-walk"
"12/04/2018","14:58:35","out","Moniek","infant-walk"
"12/04/2018","14:59:08","out","Moni","infant-walk"
"12/04/2018","15:02:59","out","Moni","infant-walk"
"12/04/2018","15:27:17","out","Morami","infant-walk"
"13/04/2018","12:17:37","out","Morami","infant-walk"
"13/04/2018","12:24:44","out","Morami","infant-walk"
"13/04/2018","12:25:42","out","Moni","infant-walk"
"13/04/2018","12:29:20","out","Moni","infant-walk"
"13/04/2018","12:30:33","out","Moni","infant-walk"
"13/04/2018","12:31:02","out","Roosje","infant-walk"
"13/04/2018","12:42:12","out","Morami","infant-walk"
"13/04/2018","12:43:47","out","Roosje","infant-walk"
"13/04/2018","12:46:02","out","Morami","infant-walk"
"13/04/2018","12:46:33","out","Moniek","infant-walk"
"13/04/2018","12:47:49","out","Morami","infant-walk"
"13/04/2018","12:56:54","out","Moniek","infant-walk"
"13/04/2018","13:14:49","out","Moniek","infant-walk"
"13/04/2018","13:18:53","out","Moni","infant-walk"
"16/04/2018","10:56:12","out","Moni","infant-walk"
"17/04/2018","9:21:56","out","Morami","infant-walk"
"17/04/2018","9:24:21","out","Morami","infant-walk"
"24/04/2018","14:11:54","out","Morami","infant-walk"
"24/04/2018","14:12:35","out","Moniek","infant-walk"
"24/04/2018","14:12:48","out","Roosje","infant-walk"
"24/04/2018","14:14:15","out","Tushi","infant-walk"
"24/04/2018","14:14:44","out","Moniek","infant-walk"
"24/04/2018","14:14:51","out","Raimee","infant-walk"
"24/04/2018","14:16:24","out","Morami","infant-walk"
"24/04/2018","14:17:48","out","Tushi","infant-walk"
"24/04/2018","14:22:54","in","Morami","infant-walk"
"24/04/2018","14:30:29","in","Morami","infant-walk"
"24/04/2018","14:31:26","in","Morami","infant-walk"
"24/04/2018","14:33:26","in","Morami","infant-walk"
"24/04/2018","15:09:32","out","Morami","infant-walk"
"24/04/2018","15:14:01","out","Morami","infant-walk"
"24/04/2018","15:14:54","out","Moni","infant-walk"
"26/04/2018","16:07:44","in","Morami","infant-walk"
"26/04/2018","16:11:55","in","Morami","infant-walk"
"26/04/2018","16:15:37","in","Morami","infant-walk"
"30/04/2018","15:35:51","in","Morami","infant-walk"
"30/04/2018","15:44:12","in","Moniek","infant-walk"
"30/04/2018","16:08:36","in","Moniek","infant-walk"
"01/05/2018","14:01:36","out","Moni","infant-walk"
"01/05/2018","14:54:37","out","Moniek","infant-walk"
"01/05/2018","14:59:28","out","Moni","infant-walk"
"01/05/2018","15:02:29","out","Moniek","infant-walk"
"03/05/2018","9:12:00","out","Moniek","infant-walk"
"03/05/2018","9:15:29","out","Moniek","infant-walk"
"03/05/2018","9:18:19","out","Tushi","infant-walk"
"03/05/2018","9:30:12","out","Morami","infant-walk"
"03/05/2018","9:37:57","out","Moniek","infant-walk"
"03/05/2018","10:19:47","out","Moniek","infant-walk"
"03/05/2018","10:27:25","out","Moniek","infant-walk"
"15/05/2018","12:51:45","out","Morami","infant-walk"
"24/05/2018","10:40:38","out","Morami","infant-walk"
"25/05/2018","11:03:06","out","Morami","infant-walk"
"20/11/2017","9:41:14","in","Morami","infant-walk"
"20/11/2017","9:41:45","in","Morami","infant-walk"
"20/11/2017","9:42:37","in","Morami","infant-walk"
"20/11/2017","9:48:14","in","Morami","infant-walk"
"20/11/2017","11:11:17","in","Moniek","infant-walk"
"20/11/2017","11:11:32","in","Moniek","infant-walk"
"20/11/2017","11:12:40","in","Moniek","infant-walk"
"20/11/2017","11:16:06","in","Moniek","infant-walk"
"23/11/2017","14:14:34","in","Morami","infant-walk"
"30/11/2017","14:19:53","out","Moniek","infant-walk"
"30/11/2017","14:21:39","out","Moniek","infant-walk"
"04/12/2017","13:03:25","in","Moni","infant-walk"
"12/12/2017","15:14:07","in","Morami","infant-walk"
"12/12/2017","15:15:03","in","Morami","infant-walk"
"14/12/2017","10:07:13","in","Moniek","infant-walk"
"14/12/2017","10:11:12","in","Moniek","infant-walk"
"14/12/2017","10:12:05","in","Moniek","infant-walk"
"14/12/2017","10:13:49","in","Moniek","infant-walk"
"14/12/2017","10:14:26","in","Moniek","infant-walk"
"08/01/2018","13:13:11","in","Moni","infant-walk"
"11/01/2018","9:46:10","in","Morami","infant-walk"
"11/01/2018","9:54:10","in","Morami","infant-walk"
"23/01/2018","14:51:17","out","Tushi","infant-walk"
"23/01/2018","15:07:07","out","Moniek","infant-walk"
"23/01/2018","15:07:36","out","Moniek","infant-walk"
"01/02/2018","14:18:13","in","Morami","infant-walk"
"01/02/2018","14:20:56","in","Morami","infant-walk"
"01/02/2018","14:21:10","in","Morami","infant-walk"
"06/02/2018","9:15:58","in","Morami","infant-walk"
"06/02/2018","9:20:11","in","Morami","infant-walk"
"06/02/2018","9:23:35","in","Morami","infant-walk"
"06/02/2018","9:24:18","in","Morami","infant-walk"
"06/02/2018","9:32:40","in","Moniek","infant-walk"
"06/02/2018","14:14:38","in","Tushi","infant-walk"
"06/02/2018","14:19:34","in","Tushi","infant-walk"
"13/02/2018","10:24:08","in","Morami","infant-walk"
"20/02/2018","14:09:38","in","Morami","infant-walk"
"20/02/2018","14:10:30","in","Morami","infant-walk"
"20/02/2018","14:13:45","in","Morami","infant-walk"
"20/02/2018","14:50:39","in","Moni","infant-walk"
"27/02/2018","11:03:22","in","Morami","infant-walk"
"27/02/2018","11:05:29","in","Morami","infant-walk"
"05/03/2018","11:07:14","in","Morami","infant-walk"
"05/03/2018","12:33:35","in","Tushi","infant-walk"
"06/03/2018","14:31:42","in","Morami","infant-walk"
"06/03/2018","14:32:17","in","Morami","infant-walk"
"09/03/2018","14:10:42","out","Moniek","infant-walk"
"23/03/2018","12:52:34","in","Geisha","infant-walk"
"23/03/2018","13:04:23","in","Moniek","infant-walk"
"27/03/2018","10:50:40","out","Roosje","infant-walk"
"27/03/2018","11:07:08","out","Morami","infant-walk"
"29/03/2018","10:40:11","in","Morami","infant-walk"
"29/03/2018","10:41:24","in","Morami","infant-walk"
"29/03/2018","10:47:21","out","Morami","infant-walk"
"29/03/2018","11:05:10","out","Moniek","infant-walk"
"29/03/2018","11:05:37","out","Moniek","infant-walk"
"03/04/2018","15:17:30","out","Morami","infant-walk"
"03/04/2018","15:22:19","out","Morami","infant-walk"
"10/04/2018","11:58:44","out","Moni","infant-walk"
"12/04/2018","12:38:49","out","Morami","infant-walk"
"13/04/2018","10:48:24","out","Moni","infant-walk"
"24/04/2018","15:30:54","out","Moni","infant-walk"
"24/04/2018","16:37:07","out","Morami","infant-walk"
"26/04/2018","14:56:06","out","Jimmie","infant-walk"
"30/04/2018","14:08:17","in","Moniek","infant-walk"
"01/05/2018","12:21:35","out","Moniek","infant-walk"
"01/05/2018","12:23:39","out","Moniek","infant-walk"
"01/05/2018","12:24:57","out","Moniek","infant-walk"
"01/05/2018","12:25:17","out","Moniek","infant-walk"
"01/05/2018","12:28:26","out","Moniek","infant-walk"
"01/05/2018","12:50:12","out","Moni","infant-walk"
"01/05/2018","12:52:55","out","Moni","infant-walk"
"01/05/2018","12:56:07","out","Moni","infant-walk"
"01/05/2018","13:00:15","out","Morami","infant-walk"
"01/05/2018","13:05:18","out","Morami","infant-walk"
